Monte Alban,"[[[43.1964087], [-77.5957802]], [[43.1962148], [-77.5957597]], [[43.1962262], [-77.5955582]], [[43.196353], [-77.5955716]], [[43.1963547], [-77.5955411]], [[43.1964074], [-77.5955467]], [[43.1964051], [-77.5955873]], [[43.1964195], [-77.5955888]], [[43.1964087], [-77.5957802]]]"
House of Guitars,"[[[43.2104917], [-77.5993837]], [[43.2100795], [-77.5993641]], [[43.2100806], [-77.5993212]], [[43.2099011], [-77.5993126]], [[43.2099041], [-77.5992006]], [[43.2099092], [-77.5992009]], [[43.2099155], [-77.599201]], [[43.2099211], [-77.5992012]], [[43.2099266], [-77.5989854]], [[43.2099299], [-77.5988737]], [[43.2099581], [-77.598875]], [[43.2102538], [-77.5988897]], [[43.2102511], [-77.5989957]], [[43.2102073], [-77.5989937]], [[43.2102016], [-77.5992168]], [[43.2104956], [-77.5992307]], [[43.2104917], [-77.5993837]]]"
JG Autowerks,"[[[43.1938033], [-77.6140097]], [[43.1938789], [-77.6140561]], [[43.1940023], [-77.6137122]], [[43.1939167], [-77.6136522]], [[43.1938689], [-77.6137941]], [[43.1938809], [-77.6138105]], [[43.1938033], [-77.6140097]]]"
Canandaigua National Bank - Irondequoit Branch,"[[[43.2069038], [-77.6003762]], [[43.2069364], [-77.6003754]], [[43.2069386], [-77.6003082]], [[43.2069821], [-77.6003099]], [[43.2069834], [-77.6002456]], [[43.2069398], [-77.6002453]], [[43.2069383], [-77.600268]], [[43.2068477], [-77.600265]], [[43.206846], [-77.6002694]], [[43.2068201], [-77.6002656]], [[43.2067948], [-77.6002736]], [[43.2067727], [-77.6002924]], [[43.2067563], [-77.60032]], [[43.2067473], [-77.6003534]], [[43.2067467], [-77.6003891]], [[43.2067545], [-77.6004231]], [[43.20677], [-77.6004518]], [[43.2067915], [-77.600472]], [[43.2068165], [-77.6004815]], [[43.2068425], [-77.6004794]], [[43.2068665], [-77.6004658]], [[43.2068861], [-77.6004422]], [[43.2068989], [-77.6004112]], [[43.2069014], [-77.6003937]], [[43.2069038], [-77.6003762]]]"
Amico Pizza,"[[[43.1966047], [-77.5950327]], [[43.196467], [-77.5950136]], [[43.1964756], [-77.594898]], [[43.1966132], [-77.5949171]], [[43.1966047], [-77.5950327]]]"
Sherwin Williams,"[[[43.1964508], [-77.5953234]], [[43.1961695], [-77.595288]], [[43.1961799], [-77.5951333]], [[43.1964611], [-77.5951687]], [[43.1964508], [-77.5953234]]]"
Black's Hardware,"[[[43.1958035], [-77.6022428]], [[43.1959814], [-77.6022884]], [[43.1960127], [-77.6020739]], [[43.1958387], [-77.6020122]], [[43.1958035], [-77.6022428]]]"
Shire South,"[[[43.1931666], [-77.5633015]], [[43.1931717], [-77.5631674]], [[43.1927996], [-77.5631408]], [[43.19281], [-77.5628653]], [[43.1931837], [-77.562892]], [[43.19319], [-77.5627255]], [[43.1928124], [-77.5626985]], [[43.1928148], [-77.5626344]], [[43.1927083], [-77.5626268]], [[43.1927044], [-77.5627281]], [[43.1923568], [-77.5627032]], [[43.1923519], [-77.5628307]], [[43.1927066], [-77.562856]], [[43.1926961], [-77.5631333]], [[43.192361], [-77.5631094]], [[43.1923559], [-77.5632436]], [[43.1931666], [-77.5633015]]]"
Ivan Green Primary School,"[[[43.205706], [-77.5664746]], [[43.2060413], [-77.5665044]], [[43.2060534], [-77.5662477]], [[43.2049652], [-77.5661512]], [[43.2049524], [-77.5664223]], [[43.2053746], [-77.5664597]], [[43.205371], [-77.5665368]], [[43.2054676], [-77.5665453]], [[43.2054519], [-77.5668818]], [[43.2050344], [-77.5668452]], [[43.2050364], [-77.5668019]], [[43.2046326], [-77.5667668]], [[43.2046166], [-77.5671127]], [[43.2050341], [-77.567149]], [[43.2050357], [-77.5671143]], [[43.205268], [-77.5671345]], [[43.2052619], [-77.5672653]], [[43.2054577], [-77.5672824]], [[43.2054606], [-77.5672213]], [[43.2055492], [-77.567229]], [[43.2055716], [-77.5667472]], [[43.2056013], [-77.5667797]], [[43.2056905], [-77.5667896]], [[43.2056939], [-77.5667307]], [[43.205706], [-77.5664746]]]"
Irondequoit Town Hall,"[[[43.2118681], [-77.5822347]], [[43.2116988], [-77.5822255]], [[43.2117037], [-77.5820573]], [[43.2116849], [-77.5820562]], [[43.2116885], [-77.5819327]], [[43.2117015], [-77.5819334]], [[43.2117064], [-77.5817628]], [[43.2118825], [-77.5817724]], [[43.2118777], [-77.5819395]], [[43.2119174], [-77.5819417]], [[43.2119164], [-77.5819774]], [[43.2119153], [-77.5820137]], [[43.2118751], [-77.5820115]], [[43.211874], [-77.58205]], [[43.2118999], [-77.5820514]], [[43.2118993], [-77.5820704]], [[43.211966], [-77.582074]], [[43.2119631], [-77.5821744]], [[43.2118699], [-77.5821693]], [[43.2118681], [-77.5822347]]]"
