203048075,"[[[43.1434446], [-77.7141362]], [[43.1432599], [-77.714127]], [[43.1432588], [-77.7141689]], [[43.1432197], [-77.7141669]], [[43.143211], [-77.7144945]], [[43.1431154], [-77.7144897]], [[43.1431148], [-77.7145152]], [[43.1430098], [-77.71451]], [[43.143009], [-77.7145369]], [[43.1427674], [-77.7145248]], [[43.142768], [-77.7144991]], [[43.1426768], [-77.7144946]], [[43.1426843], [-77.7142126]], [[43.1425852], [-77.7142077]], [[43.1425913], [-77.7139796]], [[43.1425529], [-77.7139777]], [[43.1425689], [-77.7133764]], [[43.1425994], [-77.7133779]], [[43.1426052], [-77.7131626]], [[43.1426954], [-77.7131671]], [[43.1427027], [-77.7128915]], [[43.1427954], [-77.7128961]], [[43.1427962], [-77.7128671]], [[43.1430416], [-77.7128794]], [[43.143041], [-77.712902]], [[43.1431443], [-77.7129072]], [[43.1431437], [-77.7129312]], [[43.1432397], [-77.712936]], [[43.1432317], [-77.7132368]], [[43.1431534], [-77.7132329]], [[43.1431475], [-77.7134545]], [[43.143196], [-77.7135628]], [[43.1432083], [-77.7137146]], [[43.1431865], [-77.7138369]], [[43.1434521], [-77.7138574]], [[43.1434446], [-77.7141362]]]"
203048077,"[[[43.145552], [-77.7151294]], [[43.1457969], [-77.714099]], [[43.1457037], [-77.7140589]], [[43.1454934], [-77.7139621]], [[43.1447874], [-77.7136485]], [[43.144645], [-77.7142477]], [[43.1444621], [-77.7141661]], [[43.1444248], [-77.7143231]], [[43.1446155], [-77.7144022]], [[43.144552], [-77.7146893]], [[43.145552], [-77.7151294]]]"
203048089,"[[[43.1407677], [-77.7157185]], [[43.1407753], [-77.7150195]], [[43.1405712], [-77.7150153]], [[43.1405636], [-77.7157144]], [[43.1407677], [-77.7157185]]]"
203048092,"[[[43.1457037], [-77.7140589]], [[43.1457475], [-77.7138799]], [[43.1455372], [-77.7137831]], [[43.1454934], [-77.7139621]], [[43.1457037], [-77.7140589]]]"
203048101,"[[[43.1417315], [-77.7144414]], [[43.1417381], [-77.7140459]], [[43.1413139], [-77.7140328]], [[43.1413073], [-77.7144282]], [[43.1417315], [-77.7144414]]]"
203048106,"[[[43.1404275], [-77.7164971]], [[43.1404367], [-77.7161986]], [[43.1401145], [-77.7161799]], [[43.1401053], [-77.7164784]], [[43.1404275], [-77.7164971]]]"
203048109,"[[[43.1416314], [-77.7168032]], [[43.1416442], [-77.7162323]], [[43.141373], [-77.7162208]], [[43.1413601], [-77.7167918]], [[43.1416314], [-77.7168032]]]"
203048118,"[[[43.1402486], [-77.7152736]], [[43.1402547], [-77.7147546]], [[43.1399282], [-77.7147474]], [[43.1399257], [-77.7149565]], [[43.1398657], [-77.7149552]], [[43.139862], [-77.715265]], [[43.1402486], [-77.7152736]]]"
203048127,"[[[43.1420815], [-77.7136527]], [[43.1420921], [-77.7130748]], [[43.1412805], [-77.7130467]], [[43.141276], [-77.7132876]], [[43.141173], [-77.7132841]], [[43.1411695], [-77.7134733]], [[43.1412734], [-77.7134769]], [[43.1412707], [-77.7136246]], [[43.1420815], [-77.7136527]]]"
354643915,"[[[43.1635654], [-77.7320051]], [[43.1633134], [-77.7320161]], [[43.1633087], [-77.7316546]], [[43.1635634], [-77.7316575]], [[43.1635654], [-77.7320051]]]"
